id,esco_occupation,isco_code,onet_code,onet_occupation,matching_job_titles,semantic_similarity,confidence,concept_uri
2041,statistician,2120,15-2041.00,statisticians,"['statistician', 'statisticians', 'senior statistician']",0.8704592645168303,2.0,http://data.europa.eu/esco/occupation/ac8b3cd1-a127-4e6a-8208-5cfcf7111955
2937,demographer,2120,15-2041.00,statisticians,na,0.776107132434845,2.0,http://data.europa.eu/esco/occupation/ff656b3a-65a8-4b4f-b04e-9db12936519b
202,pharmacologist,2131,19-1042.00,"medical scientists, except epidemiologists",['pharmacologist'],0.8311370611190796,1.0,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010
1256,bioinformatics scientist,2131,19-1029.01,bioinformatics scientists,"['bioinformatics scientist', 'bioinformatics analyst', 'research scientist', 'bioinformatician', 'senior bioinformatics scientist']",0.8699243366718292,1.0,http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db
1259,food biotechnologist,2131,19-1012.00,food scientists and technologists,na,0.7869054794311523,2.0,http://data.europa.eu/esco/occupation/68ffc53b-6067-4fe7-bd85-c96f4a6c1e45
1507,animal behaviourist,2131,19-1023.00,zoologists and wildlife biologists,na,0.785240125656128,1.0,http://data.europa.eu/esco/occupation/7daa8fed-9a78-4fe2-afc2-153fc423040b
2146,immunologist,2131,29-1069.01,allergists and immunologists,['immunologist'],0.8522241234779357,1.0,http://data.europa.eu/esco/occupation/b5d1912e-89c7-4a66-ab96-0dc5f4f6c426
2707,animal feed nutritionist,2131,19-1011.00,animal scientists,na,0.7898471802473068,1.0,http://data.europa.eu/esco/occupation/e97ce81a-cf24-4012-b39e-f87bedc5b450
2756,biologist,2131,19-1020.01,biologists,"['biologist', 'biologists', 'wildlife biologist', 'mycologist']",0.7781554311513901,1.0,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217
715,fisheries adviser,2132,11-9013.03,aquacultural managers,['fisheries specialist'],0.8390318691730498,1.0,http://data.europa.eu/esco/occupation/3b018148-8e92-4177-9267-5f090386f6a3
1935,aquaculture recirculation manager,2132,45-1011.06,first-line supervisors of aquacultural workers,na,0.8222804129123688,1.0,http://data.europa.eu/esco/occupation/a330b7b6-696e-455c-b6d5-f39f82c1489f
2297,agricultural scientist,2132,19-1013.00,soil and plant scientists,na,0.8257665932178497,1.0,http://data.europa.eu/esco/occupation/c25b3700-6095-42b7-99fc-b87dc326c044
